Date,Future_Predicted
1/1/2023,3769.726776
1/2/2023,3765.325863
1/3/2023,3754.218845
1/4/2023,3738.592058
1/5/2023,3720.425555
1/6/2023,3701.049606
1/7/2023,3681.239238
1/8/2023,3661.414627
1/9/2023,3641.805875
1/10/2023,3622.552712
1/11/2023,3603.750912
1/12/2023,3585.476357
1/13/2023,3567.778162
1/14/2023,3550.694636
1/15/2023,3534.240022
1/16/2023,3518.418741
1/17/2023,3503.21483
1/18/2023,3488.605697
1/19/2023,3474.55868
1/20/2023,3461.035961
1/21/2023,3447.99432
1/22/2023,3435.392254
1/23/2023,3423.185315
1/24/2023,3411.331756
1/25/2023,3399.793512
1/26/2023,3388.533993
1/27/2023,3377.519556
1/28/2023,3366.721224
1/29/2023,3356.114438
1/30/2023,3345.677589
1/31/2023,3335.392995
2/1/2023,3325.245921
2/2/2023,3315.224336
2/3/2023,3305.319889
2/4/2023,3295.526932
2/5/2023,3285.839571
2/6/2023,3276.255351
2/7/2023,3266.772307
2/8/2023,3257.390193
2/9/2023,3248.108519
2/10/2023,3238.928512
2/11/2023,3229.849681
2/12/2023,3220.874236
2/13/2023,3212.001686
2/14/2023,3203.232768
2/15/2023,3194.569692
2/16/2023,3186.011476
2/17/2023,3177.557873
2/18/2023,3169.208394
2/19/2023,3160.963774
2/20/2023,3152.821804
2/21/2023,3144.782237
2/22/2023,3136.843847
2/23/2023,3129.004177
2/24/2023,3121.262982
2/25/2023,3113.617314
2/26/2023,3106.065456
2/27/2023,3098.606424
2/28/2023,3091.237271
3/1/2023,3083.956525
3/2/2023,3076.762221
3/3/2023,3069.651902
3/4/2023,3062.624096
3/5/2023,3055.677084
3/6/2023,3048.8089
3/7/2023,3042.017336
3/8/2023,3035.301407
3/9/2023,3028.658905
3/10/2023,3022.089093
3/11/2023,3015.590497
3/12/2023,3009.159924
3/13/2023,3002.797866
3/14/2023,2996.502359
3/15/2023,2990.273156
3/16/2023,2984.107311
3/17/2023,2978.004578
3/18/2023,2971.96373
3/19/2023,2965.984275
3/20/2023,2960.064494
3/21/2023,2954.20365
3/22/2023,2948.400762
3/23/2023,2942.654847
3/24/2023,2936.965659
3/25/2023,2931.330497
3/26/2023,2925.750098
