Date,Close/Last,Volume,Open,High,Low
3/30/22,1939,133201,1924,1943.4,1920.1
3/31/22,1954,143756,1937.3,1955,1923
4/1/22,1923.7,129770,1942.4,1944.5,1921.4
4/4/22,1934,106062,1927.1,1941.6,1918.2
4/5/22,1927.5,142736,1937.3,1948.9,1920.9
4/6/22,1923.1,149065,1927.6,1937.6,1916.2
4/7/22,1937.8,119672,1928.1,1941.7,1923.3
4/8/22,1945.6,138521,1934.3,1952.2,1930.4
4/11/22,1948.2,179115,1949.6,1974.6,1942.9
4/12/22,1976.1,167267,1957.4,1982.7,1953
4/13/22,1984.7,128353,1970.5,1985.8,1966.3
4/14/22,1974.9,136906,1981.6,1984,1962.7
4/18/22,1986.4,135491,1978.5,2003,1974.4
4/19/22,1959,176033,1981.2,1985.1,1945.5
4/20/22,1955.6,136017,1952.7,1960.9,1941
4/21/22,1948.2,149700,1960,1960.1,1938
4/22/22,1934.3,172335,1953.1,1957.8,1928
4/25/22,1896,222175,1931.9,1935.5,1891.8
4/26/22,1904.1,159198,1899.8,1912.2,1896.3
4/27/22,1888.7,168759,1907.4,1908.1,1881.6
4/28/22,1891.3,166979,1886.8,1897.8,1870.9
4/29/22,1911.7,169590,1895.8,1921.3,1893.5
5/2/22,1863.6,186052,1896.2,1900.4,1853.4
5/3/22,1870.6,161150,1863.6,1878.4,1849.7
5/4/22,1868.8,155972,1868.3,1892,1861.1
5/5/22,1875.7,212206,1884.1,1910.7,1872.3
5/6/22,1882.8,165627,1877.5,1894,1865
5/9/22,1858.6,194520,1883.7,1885.6,1851
5/10/22,1841,235122,1853.9,1864.7,1834.5
5/11/22,1853.7,219335,1836.6,1857.8,1830.6
5/12/22,1824.6,230455,1852.3,1858.8,1820.1
5/13/22,1808.2,172127,1821.4,1827.6,1797.2
5/16/22,1814,156521,1809.4,1826,1785
5/17/22,1818.9,134758,1823.9,1834.8,1811
5/18/22,1822.4,33301,1820.2,1829.3,1811.7
5/19/22,1847.8,36782,1821.3,1854.5,1814.9
5/20/22,1848.4,40522,1847.4,1854,1837.3
5/23/22,1853.9,57586,1850.9,1870.4,1849.7
5/24/22,1871.4,69225,1858.6,1875,1853.9
5/25/22,1852.5,95996,1871.2,1872.7,1845
5/26/22,1853.9,88345,1857.9,1859,1842.5
5/27/22,1857.3,119997,1855.1,1866.9,1851.9
5/31/22,1848.4,191376,1856.5,1867.9,1837.6
6/1/22,1848.7,152568,1840,1853,1830.2
6/2/22,1871.4,123196,1849.9,1874.4,1846.5
6/3/22,1850.2,110502,1872.6,1878.6,1849.7
6/6/22,1843.7,95742,1853.7,1861.2,1843
6/7/22,1852.1,115125,1843.5,1858.2,1838.5
6/8/22,1856.5,110022,1855,1862.4,1846.6
6/9/22,1852.8,123946,1855.1,1857.8,1841.9
6/10/22,1875.5,258683,1850.4,1879.6,1826.5
6/13/22,1831.8,243512,1879,1882.5,1819
6/14/22,1813.5,155376,1820.9,1833.3,1806.1
6/15/22,1819.6,198265,1809.7,1845.4,1808.4
6/16/22,1849.9,173720,1835.8,1860.2,1816.3
6/17/22,1840.6,137967,1859.3,1861.5,1836.1
6/21/22,1838.8,171831,1840.6,1848.4,1830.7
6/22/22,1838.4,142428,1834.9,1850.3,1824.5
6/23/22,1829.8,159259,1839.7,1829.1,1824
6/24/22,1830.3,134283,1824.2,1833.7,1817.7
6/27/22,1824.8,135496,1839.6,1842.8,1821.8
6/28/22,1821.2,103812,1823.6,1830.9,1819.1
6/29/22,1817.5,147761,1821.4,1834.9,1810.7
6/30/22,1807.3,196788,1819.2,1826.8,1802.5
7/1/22,1801.5,238651,1808.1,1813.6,1783.4
7/5/22,1763.9,293094,1814.4,1815.2,1763
7/6/22,1736.5,249079,1764.2,1771.5,1730.7
7/7/22,1739.7,143028,1737.2,1748.2,1734.7
7/8/22,1742.3,166939,1738.7,1751.7,1726
7/11/22,1731.7,151802,1741.5,1743,1729
7/12/22,1724.8,230448,1731.3,1742.2,1721.6
7/13/22,1735.5,269477,1723.6,1744.3,1704.5
7/14/22,1705.8,242301,1733.6,1734.8,1695
7/15/22,1703.6,172240,1708.2,1714.2,1696.6
7/18/22,1710.2,144409,1706.4,1722,1704.4
7/19/22,1728.1,23419,1725.2,1734.2,1720.7
7/20/22,1717.7,47329,1727,1730.4,1707.8
7/21/22,1731.3,56532,1711.5,1737.3,1696.1
7/22/22,1745.3,70482,1735.3,1755.9,1729.8
7/25/22,1737.1,73873,1744,1752.5,1730.9
7/26/22,1735.7,84467,1735.9,1744.3,1729.6
7/27/22,1737.5,114058,1733.1,1758.2,1727
7/28/22,1769.2,186813,1751.4,1774.4,1750.4
7/29/22,1781.8,136893,1773.1,1784.6,1768.4
8/1/22,1787.7,131463,1782.5,1792.5,1774.3
8/2/22,1789.7,169496,1789.2,1805,1776
8/3/22,1776.4,147085,1777.3,1789.4,1770
8/4/22,1806.9,146208,1782.1,1812,1779.4
8/5/22,1791.2,164173,1807.7,1811.6,1780.2
8/8/22,1805.2,101477,1790.3,1806.4,1786.9
8/9/22,1812.3,117689,1805.5,1817,1799.4
8/10/22,1813.7,151584,1811.5,1824.6,1803.3
8/11/22,1807.2,115221,1807.9,1814.9,1798.6
8/12/22,1815.5,114600,1805.2,1819.1,1799.6
8/15/22,1798.1,134361,1818.9,1818.9,1787.6
8/16/22,1789.7,90514,1795.5,1798,1785.4
8/17/22,1776.7,134521,1790.8,1796.6,1773.9
8/18/22,1771.2,119686,1777.1,1786.3,1768.8
8/19/22,1762.9,133714,1773.1,1773.3,1759.1
8/22/22,1748.4,137883,1760.6,1762.1,1740.2
8/23/22,1761.2,140603,1750,1767.5,1743.1
8/24/22,1761.5,111405,1761.3,1769.5,1754.8
8/25/22,1771.4,114539,1764.4,1778.8,1763
8/26/22,1749.8,169654,1771.8,1772.3,1746.2
8/29/22,1749.7,151838,1748.4,1757.9,1731.4
8/30/22,1736.3,126018,1749.8,1752.8,1732.9
8/31/22,1726.2,169549,1735.5,1738,1720.6
9/1/22,1709.3,192532,1723,1723,1699.1
9/2/22,1722.6,171140,1707.8,1729.5,1705.9
9/6/22,1712.9,202021,1724.2,1737.4,1710.6
